gene	total_mutations	matching_count	non_matching_accessions	percentage_match
ADA	55	0	NO_FASTA	0.0
AICDA	29	0	NO_FASTA	0.0
AIRE	35	0	NO_FASTA	0.0
AK2	8	0	NO_FASTA	0.0
AP3B1	5	0	NO_FASTA	0.0
BIRC4	9	0	NO_FASTA	0.0
BLM	42	0	NO_FASTA	0.0
C1QA	5	0	NO_FASTA	0.0
C1QB	3	0	NO_FASTA	0.0
C1QC	4	0	NO_FASTA	0.0
C1S	6	0	NO_FASTA	0.0
C2	3	0	NO_FASTA	0.0
C3	7	0	NO_FASTA	0.0
C5	5	0	NO_FASTA	0.0
C6	4	0	NO_FASTA	0.0
C7	19	0	NO_FASTA	0.0
C8B	6	0	NO_FASTA	0.0
C9	5	0	NO_FASTA	0.0
CASP10	2	0	NO_FASTA	0.0
CASP8	1	0	NO_FASTA	0.0
CD19	1	0	NO_FASTA	0.0
CD247	1	0	NO_FASTA	0.0
CD3D	2	0	NO_FASTA	0.0
CD3E	1	0	NO_FASTA	0.0
CD3G	1	0	NO_FASTA	0.0
CD40	2	0	NO_FASTA	0.0
CD40L	114	0	NO_FASTA	0.0
CD55	4	0	NO_FASTA	0.0
CD59	1	0	NO_FASTA	0.0
CD79B	1	0	NO_FASTA	0.0
CD8A	1	0	NO_FASTA	0.0
CEBPE	2	0	NO_FASTA	0.0
CFD	2	0	NO_FASTA	0.0
CFH	53	0	NO_FASTA	0.0
CFI	12	0	NO_FASTA	0.0
CFP	12	0	NO_FASTA	0.0
CIITA	5	0	NO_FASTA	0.0
CTSC	62	0	NO_FASTA	0.0
CXCR4	6	0	NO_FASTA	0.0
CYBA	39	0	NO_FASTA	0.0
CYBB	368	0	NO_FASTA	0.0
DKC1	5	0	NO_FASTA	0.0
ELA2	40	0	NO_FASTA	0.0
FASLG	1	0	NO_FASTA	0.0
FCGR1A	1	0	NO_FASTA	0.0
FCGR3A	1	0	NO_FASTA	0.0
FERMT3	4	0	NO_FASTA	0.0
FOXN1	1	0	NO_FASTA	0.0
FOXP3	24	0	NO_FASTA	0.0
G6PC3	10	0	NO_FASTA	0.0
GFI1	3	0	NO_FASTA	0.0
HAX1	10	0	NO_FASTA	0.0
ICOS	1	0	NO_FASTA	0.0
IFNGR1	21	0	NO_FASTA	0.0
IFNGR2	5	0	NO_FASTA	0.0
IGLL1	2	0	NO_FASTA	0.0
IKBKG	32	0	NO_FASTA	0.0
IL12B	1	0	NO_FASTA	0.0
IL12RB1	12	0	NO_FASTA	0.0
IL2RA	2	0	NO_FASTA	0.0
IL7R	4	0	NO_FASTA	0.0
IRAK4	8	0	NO_FASTA	0.0
ITGB2	6	0	NO_FASTA	0.0
JAK3	32	0	NO_FASTA	0.0
LIG1	2	0	NO_FASTA	0.0
LIG4	10	0	NO_FASTA	0.0
LYST	29	0	NO_FASTA	0.0
MAPBPIP	1	0	NO_FASTA	0.0
MASP2	1	0	NO_FASTA	0.0
MLPH	1	0	NO_FASTA	0.0
MPO	11	0	NO_FASTA	0.0
MRE11A	6	0	NO_FASTA	0.0
MYO5A	2	0	NO_FASTA	0.0
NCF1	9	0	NO_FASTA	0.0
NCF2	42	0	NO_FASTA	0.0
NFKBIA	2	0	NO_FASTA	0.0
NHEJ1	5	0	NO_FASTA	0.0
NP	17	0	NO_FASTA	0.0
NRAS	1	0	NO_FASTA	0.0
ORAI1	3	0	NO_FASTA	0.0
PRF1	82	0	NO_FASTA	0.0
PTPRC	3	0	NO_FASTA	0.0
RAB27A	17	0	NO_FASTA	0.0
RAC2	1	0	NO_FASTA	0.0
RAD50	2	0	NO_FASTA	0.0
RAG1	58	0	NO_FASTA	0.0
RAG2	21	0	NO_FASTA	0.0
RFX5	3	0	NO_FASTA	0.0
RFXANK	7	0	NO_FASTA	0.0
RFXAP	2	0	NO_FASTA	0.0
RNF168	1	0	NO_FASTA	0.0
SBDS	26	0	NO_FASTA	0.0
SERPING1	105	0	NO_FASTA	0.0
SLC35C1	5	0	NO_FASTA	0.0
SMARCAL1	31	0	NO_FASTA	0.0
SP110	2	0	NO_FASTA	0.0
SPINK5	30	0	NO_FASTA	0.0
STAT1	6	0	NO_FASTA	0.0
STAT3	31	0	NO_FASTA	0.0
STAT5B	2	0	NO_FASTA	0.0
STIM1	1	0	NO_FASTA	0.0
STX11	3	0	NO_FASTA	0.0
STXBP2	9	0	NO_FASTA	0.0
TAP1	3	0	NO_FASTA	0.0
TAP2	3	0	NO_FASTA	0.0
TAZ	30	0	NO_FASTA	0.0
TCN2	9	0	NO_FASTA	0.0
TLR3	2	0	NO_FASTA	0.0
TMC6	5	0	NO_FASTA	0.0
TMC8	6	0	NO_FASTA	0.0
TNFRSF13B	6	0	NO_FASTA	0.0
TYK2	1	0	NO_FASTA	0.0
UNC13D	30	0	NO_FASTA	0.0
UNC93B1	2	0	NO_FASTA	0.0
UNG	5	0	NO_FASTA	0.0
ZAP70	8	0	NO_FASTA	0.0
